gene,string_id
182-FIP,"['9606.ENSP00000225388', '9606.ENSP00000225388', '9606.ENSP00000225388']"
18A2,"['9606.ENSP00000357704', '9606.ENSP00000357704', '9606.ENSP00000357704']"
19A,"['9606.ENSP00000357022', '9606.ENSP00000357022', '9606.ENSP00000357022']"
1A,['9606.ENSP00000394071']
1A1,['9606.ENSP00000296589']
1A1-3B,"['9606.ENSP00000343479', '9606.ENSP00000343479', '9606.ENSP00000343479']"
1A13B,['9606.ENSP00000343479']
1A6/DRIM,"['9606.ENSP00000261637', '9606.ENSP00000261637', '9606.ENSP00000261637']"
1AGPAT5,['9606.ENSP00000285518']
1AGPAT8,['9606.ENSP00000310551']
1C5,['9606.ENSP00000371267']
1C7,"['9606.ENSP00000342156', '9606.ENSP00000342156', '9606.ENSP00000342156', '9606.ENSP00000342156']"
1C9-2,['9606.ENSP00000216034']
1D,"['9606.ENSP00000356257', '9606.ENSP00000356257', '9606.ENSP00000356257']"
1F5,['9606.ENSP00000498879']
1G5,['9606.ENSP00000419195']
1R20,"['9606.ENSP00000356429', '9606.ENSP00000356429', '9606.ENSP00000356429', '9606.ENSP00000356429']"
1R21,['9606.ENSP00000363689']
2'-PDE,"['9606.ENSP00000309142', '9606.ENSP00000309142', '9606.ENSP00000309142']"
2-19,"['9606.ENSP00000320521', '9606.ENSP00000320521', '9606.ENSP00000320521']"
2-21,"['9606.ENSP00000350673', '9606.ENSP00000350673', '9606.ENSP00000350673']"
2-5-3p,['9606.ENSP00000334100']
2-ALPHA-HSD,['9606.ENSP00000370254']
2-COP,"['9606.ENSP00000402346', '9606.ENSP00000402346', '9606.ENSP00000402346']"
2-HPCL,"['9606.ENSP00000323811', '9606.ENSP00000323811', '9606.ENSP00000323811']"
2-MEBCAD,['9606.ENSP00000357873']
2-PDE,['9606.ENSP00000309142']
2.19,['9606.ENSP00000320521']
20-ALPHA-HSD,['9606.ENSP00000370254']
20-alpha-HSD,['9606.ENSP00000225929']
2010001O09Rik,['9606.ENSP00000360270']
2010002K04Rik,['9606.ENSP00000233630']
2010204O13Rik,['9606.ENSP00000261647']
209L8,"['9606.ENSP00000263383', '9606.ENSP00000263383', '9606.ENSP00000263383']"
20D7-FC4,"['9606.ENSP00000410007', '9606.ENSP00000410007', '9606.ENSP00000410007']"
21-GARP,"['9606.ENSP00000332513', '9606.ENSP00000332513', '9606.ENSP00000332513']"
214K23.2,['9606.ENSP00000445043']
21orf5,['9606.ENSP00000382104']
2210413P10Rik,['9606.ENSP00000318684']
2310005P21Rik,"['9606.ENSP00000371497', '9606.ENSP00000371497']"
2310020H20Rik,['9606.ENSP00000310623']
2310047C21Rik,['9606.ENSP00000319918']
2310047H23Rik,"['9606.ENSP00000351157', '9606.ENSP00000351157']"
2310061C15Rik,['9606.ENSP00000219400']
239AB,"['9606.ENSP00000388137', '9606.ENSP00000388137', '9606.ENSP00000388137']"
239FB,"['9606.ENSP00000350833', '9606.ENSP00000350833', '9606.ENSP00000350833']"
2410002I16Rik,['9606.ENSP00000390475']
2410004I17Rik,['9606.ENSP00000306999']
2410091M23Rik,['9606.ENSP00000335306']
24b2,"['9606.ENSP00000327509', '9606.ENSP00000327509', '9606.ENSP00000327509']"
24b2/STAC2,['9606.ENSP00000327509']
24p3,"['9606.ENSP00000362108', '9606.ENSP00000362108', '9606.ENSP00000362108']"
24p3R,['9606.ENSP00000380437']
2510004L01Rik,['9606.ENSP00000371471']
2510025F08Rik,['9606.ENSP00000370557']
2610017G09Rik,['9606.ENSP00000312250']
2610020J05Rik,['9606.ENSP00000227474']
2610028I09Rik,['9606.ENSP00000364476']
2610509L04Rik,"['9606.ENSP00000380659', '9606.ENSP00000380659']"
2610510D13Rik,['9606.ENSP00000376309']
26RFa,"['9606.ENSP00000485512', '9606.ENSP00000485512', '9606.ENSP00000485512']"
2700063A19Rik,['9606.ENSP00000362387']
2700066J21Rik,"['9606.ENSP00000428619', '9606.ENSP00000428619', '9606.ENSP00000428619']"
27K,['9606.ENSP00000244227']
2810028N01Rik,['9606.ENSP00000366997']
2810403B08Rik,['9606.ENSP00000342510']
2810435D12Rik,['9606.ENSP00000238379']
2900010K02Rik,['9606.ENSP00000406885']
2A-DUB,['9606.ENSP00000418734']
2A9,"['9606.ENSP00000357709', '9606.ENSP00000357709', '9606.ENSP00000357709']"
2ADUB,['9606.ENSP00000418734']
2B28,"['9606.ENSP00000294119', '9606.ENSP00000294119', '9606.ENSP00000294119']"
2B4,"['9606.ENSP00000357012', '9606.ENSP00000357012', '9606.ENSP00000357012', '9606.ENSP00000357012']"
2BP1,['9606.ENSP00000391269']
2C18,"['9606.ENSP00000274000', '9606.ENSP00000274000', '9606.ENSP00000274000']"
2C4D,"['9606.ENSP00000315702', '9606.ENSP00000315702', '9606.ENSP00000315702']"
2DD,"['9606.ENSP00000221403', '9606.ENSP00000221403']"
2E4,"['9606.ENSP00000337850', '9606.ENSP00000337850', '9606.ENSP00000337850']"
2F1,"['9606.ENSP00000266551', '9606.ENSP00000266551', '9606.ENSP00000266551', '9606.ENSP00000360671', '9606.ENSP00000360671', '9606.ENSP00000360671']"
2H9,"['9606.ENSP00000265866', '9606.ENSP00000265866', '9606.ENSP00000265866']"
2HOR0202,"['9606.ENSP00000481842', '9606.ENSP00000481842', '9606.ENSP00000481842']"
2OST,"['9606.ENSP00000356433', '9606.ENSP00000356433', '9606.ENSP00000356433']"
2P1,"['9606.ENSP00000323076', '9606.ENSP00000323076', '9606.ENSP00000323076']"
2PP2A,"['9606.ENSP00000361777', '9606.ENSP00000361777', '9606.ENSP00000361777']"
3'-Tab1,['9606.ENSP00000216160']
3'EXO,['9606.ENSP00000250263']
3'HEXO,"['9606.ENSP00000250263', '9606.ENSP00000250263', '9606.ENSP00000250263']"
3'OY11.1,"['9606.ENSP00000302855', '9606.ENSP00000302855', '9606.ENSP00000302855']"
3-10C,"['9606.ENSP00000306512', '9606.ENSP00000306512']"
3-Gn-T1,['9606.ENSP00000305595']
3-Gn-T2,['9606.ENSP00000305595']
3-Gn-T8,['9606.ENSP00000319979']
3-HAO,['9606.ENSP00000294973']
3-OST-3A,['9606.ENSP00000284110']
3-OST-3B,['9606.ENSP00000354213']
3-OST-4,['9606.ENSP00000330606']
3-OST-5,"['9606.ENSP00000427888', '9606.ENSP00000427888', '9606.ENSP00000427888']"
3-OST-6,['9606.ENSP00000416741']
3-PAP,"['9606.ENSP00000371577', '9606.ENSP00000371577', '9606.ENSP00000371577']"
3-PGDH,['9606.ENSP00000493382']
3-alpha-HSD,"['9606.ENSP00000369814', '9606.ENSP00000369814', '9606.ENSP00000369814', '9606.ENSP00000389241']"
300-KD,['9606.ENSP00000301740']
30K,"['9606.ENSP00000464849', '9606.ENSP00000464849']"
30ST2,['9606.ENSP00000261374']
30ST3A1,"['9606.ENSP00000284110', '9606.ENSP00000284110']"
30ST3B1,"['9606.ENSP00000354213', '9606.ENSP00000354213']"
30ST4,['9606.ENSP00000330606']
3110004H13Rik,['9606.ENSP00000225728']
3110013H01Rik,['9606.ENSP00000299736']
3110052N05Rik,['9606.ENSP00000300605']
323/A3,"['9606.ENSP00000263735', '9606.ENSP00000263735']"
35DAG,"['9606.ENSP00000218867', '9606.ENSP00000338343']"
3635,"['9606.ENSP00000309142', '9606.ENSP00000309142']"
363E6.2,['9606.ENSP00000261386']
37LRP,"['9606.ENSP00000389351', '9606.ENSP00000389351', '9606.ENSP00000389351']"
384D8-2,"['9606.ENSP00000299821', '9606.ENSP00000299821']"
39.1,['9606.ENSP00000308452']
39K2,"['9606.ENSP00000428756', '9606.ENSP00000428756', '9606.ENSP00000428756']"
39K3,['9606.ENSP00000428756']
3ALPHA-HSD,['9606.ENSP00000389241']
3BETAHSD,['9606.ENSP00000358421']
3BH,['9606.ENSP00000358421']
3BP-2,['9606.ENSP00000424846']
3BP2,"['9606.ENSP00000424846', '9606.ENSP00000424846']"
3D3,"['9606.ENSP00000338235', '9606.ENSP00000338235', '9606.ENSP00000338235']"
3DL2,['9606.ENSP00000325525']
3G2,"['9606.ENSP00000266022', '9606.ENSP00000266022', '9606.ENSP00000266022']"
3H11Ag,"['9606.ENSP00000448012', '9606.ENSP00000448012', '9606.ENSP00000448012']"
3KS,['9606.ENSP00000387007']
3M1,['9606.ENSP00000438788']
3M3,"['9606.ENSP00000303158', '9606.ENSP00000303158', '9606.ENSP00000303158']"
3MC2,['9606.ENSP00000411770']
3MC3,['9606.ENSP00000332723']
3OST,"['9606.ENSP00000002596', '9606.ENSP00000002596']"
3OST1,"['9606.ENSP00000002596', '9606.ENSP00000002596', '9606.ENSP00000002596', '9606.ENSP00000002596']"
3OST2,"['9606.ENSP00000261374', '9606.ENSP00000261374', '9606.ENSP00000261374', '9606.ENSP00000261374']"
3OST3A1,"['9606.ENSP00000284110', '9606.ENSP00000284110', '9606.ENSP00000284110', '9606.ENSP00000284110']"
3OST3B1,"['9606.ENSP00000354213', '9606.ENSP00000354213', '9606.ENSP00000354213', '9606.ENSP00000354213']"
3OST4,"['9606.ENSP00000330606', '9606.ENSP00000330606', '9606.ENSP00000330606', '9606.ENSP00000330606']"
3OST5,"['9606.ENSP00000427888', '9606.ENSP00000427888']"
3PAP,"['9606.ENSP00000371577', '9606.ENSP00000371577']"
3PGDH,['9606.ENSP00000493382']
3PK,"['9606.ENSP00000396467', '9606.ENSP00000396467']"
3alpha-HSD,"['9606.ENSP00000389241', '9606.ENSP00000389241']"
3o5bred,['9606.ENSP00000242375']
3pK,"['9606.ENSP00000396467', '9606.ENSP00000396467']"
4-1BB,"['9606.ENSP00000478699', '9606.ENSP00000478699', '9606.ENSP00000478699']"
4-1BB-L,"['9606.ENSP00000245817', '9606.ENSP00000245817', '9606.ENSP00000245817']"
4-1BBL,"['9606.ENSP00000245817', '9606.ENSP00000245817']"
4-1BBLRR,['9606.ENSP00000298288']
4-HPPD,"['9606.ENSP00000289004', '9606.ENSP00000289004', '9606.ENSP00000289004']"
4-HPPD-L,"['9606.ENSP00000335060', '9606.ENSP00000335060', '9606.ENSP00000335060']"
4.1-G,"['9606.ENSP00000357110', '9606.ENSP00000357110', '9606.ENSP00000357110']"
4.1B,"['9606.ENSP00000343158', '9606.ENSP00000343158', '9606.ENSP00000343158']"
4.1G,"['9606.ENSP00000357110', '9606.ENSP00000357110']"
4.1N,"['9606.ENSP00000337168', '9606.ENSP00000337168', '9606.ENSP00000337168']"
4.1O,['9606.ENSP00000303508']
4.1R,"['9606.ENSP00000345259', '9606.ENSP00000345259', '9606.ENSP00000345259']"
40K,['9606.ENSP00000263694']
42A,"['9606.ENSP00000357704', '9606.ENSP00000357704', '9606.ENSP00000357704']"
42C,"['9606.ENSP00000357801', '9606.ENSP00000357801', '9606.ENSP00000357801']"
447AA,['9606.ENSP00000362776']
44M2.4,['9606.ENSP00000319482']
464.2,['9606.ENSP00000480558']
47.11,"['9606.ENSP00000336769', '9606.ENSP00000336769']"
4732463G12Rik,['9606.ENSP00000269383']
4832404P21Rik,"['9606.ENSP00000381693', '9606.ENSP00000381693']"
4833431A01Rik,"['9606.ENSP00000254250', '9606.ENSP00000254250']"
4930465P12Rik,['9606.ENSP00000407213']
4930513O09RIK,"['9606.ENSP00000345633', '9606.ENSP00000345633']"
4930573H17Rik,['9606.ENSP00000247843']
4930578C19Rik,['9606.ENSP00000381086']
4933409D10Rik,"['9606.ENSP00000296600', '9606.ENSP00000296600']"
4933414E04Rik,['9606.ENSP00000366519']
4933421L13Rik,['9606.ENSP00000383433']
4933425L19Rik,['9606.ENSP00000264159']
4933433C09Rik,['9606.ENSP00000400669']
4E-BP1,"['9606.ENSP00000340691', '9606.ENSP00000340691', '9606.ENSP00000340691']"
4E-BP3,"['9606.ENSP00000308472', '9606.ENSP00000308472', '9606.ENSP00000308472']"
4E-LP,['9606.ENSP00000258416']
4E-T,"['9606.ENSP00000380659', '9606.ENSP00000380659', '9606.ENSP00000380659']"
4EBP1,['9606.ENSP00000340691']
4EBP2,['9606.ENSP00000362314']
4EBP3,['9606.ENSP00000308472']
4EHP,"['9606.ENSP00000258416', '9606.ENSP00000258416', '9606.ENSP00000258416']"
4F2,"['9606.ENSP00000367123', '9606.ENSP00000367123', '9606.ENSP00000367123']"
4F2HC,"['9606.ENSP00000367123', '9606.ENSP00000367123', '9606.ENSP00000367123']"
4F2LC,['9606.ENSP00000261622']
4F5,"['9606.ENSP00000346892', '9606.ENSP00000346892']"
4F5REL,"['9606.ENSP00000387187', '9606.ENSP00000387187', '9606.ENSP00000387187']"
4F9,['9606.ENSP00000227155']
4HPPD,"['9606.ENSP00000289004', '9606.ENSP00000289004', '9606.ENSP00000289004']"
4Ig-B7-H3,['9606.ENSP00000320084']
4P11,"['9606.ENSP00000370966', '9606.ENSP00000370966', '9606.ENSP00000370966', '9606.ENSP00000370966']"
4SPAN1,"['9606.ENSP00000338648', '9606.ENSP00000338648']"
4SPAN2,"['9606.ENSP00000300184', '9606.ENSP00000300184']"
4SPAN3,"['9606.ENSP00000435844', '9606.ENSP00000435844']"
4SPAN3.2,['9606.ENSP00000435844']
4SPAN4,"['9606.ENSP00000300226', '9606.ENSP00000300226']"
4T2HC,"['9606.ENSP00000367123', '9606.ENSP00000367123', '9606.ENSP00000367123']"
5'-NT,['9606.ENSP00000323036']
5'OY11.1,"['9606.ENSP00000485750', '9606.ENSP00000485750', '9606.ENSP00000485750']"
5-HT(2B),"['9606.ENSP00000258400', '9606.ENSP00000258400', '9606.ENSP00000258400']"
5-HT-1A,['9606.ENSP00000316244']
5-HT-1B,['9606.ENSP00000358963']
5-HT-1D-beta,['9606.ENSP00000358963']
5-HT-1F,['9606.ENSP00000322924']
5-HT-2B,['9606.ENSP00000258400']
5-HT1A,"['9606.ENSP00000316244', '9606.ENSP00000316244', '9606.ENSP00000316244']"
5-HT1B,"['9606.ENSP00000358963', '9606.ENSP00000358963', '9606.ENSP00000358963']"
5-HT1C,['9606.ENSP00000276198']
5-HT1D,"['9606.ENSP00000363748', '9606.ENSP00000363748', '9606.ENSP00000363748']"
5-HT1DB,"['9606.ENSP00000358963', '9606.ENSP00000358963', '9606.ENSP00000358963']"
5-HT1E,"['9606.ENSP00000307766', '9606.ENSP00000307766', '9606.ENSP00000307766']"
5-HT1F,"['9606.ENSP00000322924', '9606.ENSP00000322924', '9606.ENSP00000322924']"
5-HT2A,"['9606.ENSP00000437737', '9606.ENSP00000437737', '9606.ENSP00000437737']"
5-HT2B,"['9606.ENSP00000258400', '9606.ENSP00000258400', '9606.ENSP00000258400']"
5-HT2C,"['9606.ENSP00000276198', '9606.ENSP00000276198', '9606.ENSP00000276198']"
5-HT3A,"['9606.ENSP00000347754', '9606.ENSP00000347754']"
5-HT3B,"['9606.ENSP00000260191', '9606.ENSP00000260191', '9606.ENSP00000260191']"
5-HT3R,"['9606.ENSP00000347754', '9606.ENSP00000347754']"
5-HT4,"['9606.ENSP00000353915', '9606.ENSP00000353915']"
5-HT5A,"['9606.ENSP00000287907', '9606.ENSP00000287907', '9606.ENSP00000287907']"
5-HT6,"['9606.ENSP00000289753', '9606.ENSP00000289753', '9606.ENSP00000289753']"
5-HT6R,"['9606.ENSP00000289753', '9606.ENSP00000289753', '9606.ENSP00000289753']"
5-HT7,"['9606.ENSP00000337949', '9606.ENSP00000337949', '9606.ENSP00000337949']"
5-HTR2C,['9606.ENSP00000276198']
5-HTT,"['9606.ENSP00000261707', '9606.ENSP00000261707', '9606.ENSP00000261707']"
5-HTTLPR,['9606.ENSP00000261707']
5-LO,['9606.ENSP00000363512']
5-LOX,"['9606.ENSP00000363512', '9606.ENSP00000363512', '9606.ENSP00000363512']"
5-Opase,"['9606.ENSP00000480476', '9606.ENSP00000480476', '9606.ENSP00000480476']"
50DAG,['9606.ENSP00000262018']
53BP1,"['9606.ENSP00000371475', '9606.ENSP00000371475', '9606.ENSP00000371475']"
53BP2,"['9606.ENSP00000341957', '9606.ENSP00000341957', '9606.ENSP00000341957']"
54TM,"['9606.ENSP00000366098', '9606.ENSP00000366098', '9606.ENSP00000366098', '9606.ENSP00000366098']"
551G9.2,['9606.ENSP00000398131']
5630401D24Rik,['9606.ENSP00000354920']
5730408C10Rik,['9606.ENSP00000262482']
5730547N13Rik,['9606.ENSP00000220514']
5830420C16Rik,['9606.ENSP00000390475']
59-DAP,"['9606.ENSP00000378965', '9606.ENSP00000378965', '9606.ENSP00000378965']"
5A3,['9606.ENSP00000360437']
5B10,['9606.ENSP00000357709']
5DI,['9606.ENSP00000354643']
5DII,['9606.ENSP00000451419']
5DIII,['9606.ENSP00000427336']
5F7,['9606.ENSP00000333769']
5HT1A,['9606.ENSP00000316244']
5HT1a,['9606.ENSP00000316244']
5HT3D,['9606.ENSP00000371929']
5HT3R,['9606.ENSP00000347754']
5HT6,['9606.ENSP00000322924']
5HTR2C,"['9606.ENSP00000276198', '9606.ENSP00000276198', '9606.ENSP00000276198']"
5HTT,['9606.ENSP00000261707']
5LPG,['9606.ENSP00000363512']
5PTASE,"['9606.ENSP00000357583', '9606.ENSP00000357583', '9606.ENSP00000357583', '9606.ENSP00000357583']"
5PTase,['9606.ENSP00000362115']
5T4,"['9606.ENSP00000358765', '9606.ENSP00000358765', '9606.ENSP00000358765', '9606.ENSP00000358765']"
5T4-AG,"['9606.ENSP00000358765', '9606.ENSP00000358765']"
5T4AG,['9606.ENSP00000358765']
5c5-2,['9606.ENSP00000333837']
5qNCA,['9606.ENSP00000326563']
6-16,"['9606.ENSP00000342513', '9606.ENSP00000342513']"
6.3,"['9606.ENSP00000358696', '9606.ENSP00000358696', '9606.ENSP00000358696']"
6.8PL,"['9606.ENSP00000401770', '9606.ENSP00000401770', '9606.ENSP00000401770']"
6030440G05Rik,['9606.ENSP00000381549']
60B8AG,"['9606.ENSP00000357721', '9606.ENSP00000357721', '9606.ENSP00000357721', '9606.ENSP00000357727', '9606.ENSP00000357727', '9606.ENSP00000357727']"
61E3.4,"['9606.ENSP00000402515', '9606.ENSP00000404439']"
6330408P19Rik,['9606.ENSP00000355133']
6330578E17Rik,['9606.ENSP00000330730']
6430402L03Rik,['9606.ENSP00000476792']
64kD,"['9606.ENSP00000356257', '9606.ENSP00000356257', '9606.ENSP00000356257']"
6530402N02Rik,['9606.ENSP00000358105']
6530404F10Rik,"['9606.ENSP00000352941', '9606.ENSP00000352941', '9606.ENSP00000352941']"
65K,['9606.ENSP00000312981']
67LR,['9606.ENSP00000389351']
6A1,['9606.ENSP00000298681']
6A3-5,"['9606.ENSP00000490491', '9606.ENSP00000490491', '9606.ENSP00000490491']"
6C6-AG,['9606.ENSP00000392330']
6C6-Ag,"['9606.ENSP00000392330', '9606.ENSP00000392330']"
6Ckine,"['9606.ENSP00000259607', '9606.ENSP00000259607', '9606.ENSP00000259607']"
6M1-1,['9606.ENSP00000366378']
6M1-16,['9606.ENSP00000366340']
6M1-18,['9606.ENSP00000366354']
6M1-21,['9606.ENSP00000493269']
6M1-3,['9606.ENSP00000493439']
6M1-4P,['9606.ENSP00000493312']
6PGD,['9606.ENSP00000270776']
6PGL,"['9606.ENSP00000252603', '9606.ENSP00000252603', '9606.ENSP00000252603']"
7-60,"['9606.ENSP00000290291', '9606.ENSP00000290291']"
71-7A,"['9606.ENSP00000344314', '9606.ENSP00000344314', '9606.ENSP00000344314']"
721P,"['9606.ENSP00000324827', '9606.ENSP00000324827', '9606.ENSP00000324827']"
753P9,"['9606.ENSP00000349359', '9606.ENSP00000349359', '9606.ENSP00000349359']"
76P,"['9606.ENSP00000260383', '9606.ENSP00000260383', '9606.ENSP00000260383', '9606.ENSP00000260383']"
7A5,"['9606.ENSP00000383185', '9606.ENSP00000383185', '9606.ENSP00000383185']"
7B2,"['9606.ENSP00000300175', '9606.ENSP00000300175', '9606.ENSP00000300175']"
7B4,"['9606.ENSP00000497290', '9606.ENSP00000497290', '9606.ENSP00000497290']"
7M1-2,['9606.ENSP00000485483']
7TMR,['9606.ENSP00000300098']
7h3,"['9606.ENSP00000341489', '9606.ENSP00000341489', '9606.ENSP00000341489']"
80K-L,"['9606.ENSP00000478061', '9606.ENSP00000478061', '9606.ENSP00000478061']"
82-FIP,"['9606.ENSP00000225388', '9606.ENSP00000225388', '9606.ENSP00000225388']"
8430410J10Rik,['9606.ENSP00000498374']
87U6,"['9606.ENSP00000358867', '9606.ENSP00000358867', '9606.ENSP00000358867']"
8B,"['9606.ENSP00000356224', '9606.ENSP00000356224', '9606.ENSP00000356224']"
8D6,"['9606.ENSP00000301458', '9606.ENSP00000301458', '9606.ENSP00000301458']"
8D6A,"['9606.ENSP00000301458', '9606.ENSP00000301458', '9606.ENSP00000301458', '9606.ENSP00000301458']"
8HS20,"['9606.ENSP00000248948', '9606.ENSP00000248948', '9606.ENSP00000248948']"
9-27,"['9606.ENSP00000330825', '9606.ENSP00000330825', '9606.ENSP00000330825']"
90K,"['9606.ENSP00000262776', '9606.ENSP00000262776', '9606.ENSP00000262776']"
9130403P13Rik,['9606.ENSP00000438205']
921-L,['9606.ENSP00000352544']
92M18.3,['9606.ENSP00000382328']
9630046K23Rik,"['9606.ENSP00000295588', '9606.ENSP00000295588']"
9804,['9606.ENSP00000428572']
9830169G11Rik,['9606.ENSP00000326342']
99D8.1,"['9606.ENSP00000299300', '9606.ENSP00000299300']"
9F,"['9606.ENSP00000377225', '9606.ENSP00000377225', '9606.ENSP00000377225']"
9G8,"['9606.ENSP00000297151', '9606.ENSP00000297151', '9606.ENSP00000297151', '9606.ENSP00000325905', '9606.ENSP00000325905', '9606.ENSP00000325905']"
9cRDH,['9606.ENSP00000257895']
?4,['9606.ENSP00000363661']
?Pix,['9606.ENSP00000250617']
A-116A10.1,['9606.ENSP00000351990']
A-152E5.1,"['9606.ENSP00000219235', '9606.ENSP00000219235', '9606.ENSP00000219235']"
A-152E5.3,['9606.ENSP00000219244']
A-2,"['9606.ENSP00000311528', '9606.ENSP00000311528', '9606.ENSP00000311528']"
A-259H10.2,['9606.ENSP00000441828']
A-270G1.2,['9606.ENSP00000198767']
A-328A3.2,['9606.ENSP00000160827']
A-388D4.1,['9606.ENSP00000456480']
A-761H5.4,['9606.ENSP00000411140']
A-923A4.1,"['9606.ENSP00000459451', '9606.ENSP00000459451', '9606.ENSP00000459451']"
A-BETA,['9606.ENSP00000494360']
A-C1,"['9606.ENSP00000498228', '9606.ENSP00000498228', '9606.ENSP00000498228']"
A-FABP,"['9606.ENSP00000256104', '9606.ENSP00000256104', '9606.ENSP00000256104']"
