gene1,gene2,combined_score
ACTB,VIM,723
ACTB,WAS,954
ACTB,WASF2,941
ACTB,WDR1,709
ACTB,YWHAB,908
ACTB,YWHAZ,899
ACTB,ZYX,942
ACTBL2,PFDN1,792
ACTBL2,PFDN2,896
ACTBL2,RUVBL1,714
ACTBL2,RUVBL2,714
ACTBL2,TWF2,721
ACTG1,ACTN1,972
ACTG1,ACTN4,970
ACTG1,ACTR2,949
ACTG1,ACTR3,936
ACTG1,ALDOA,774
ACTG1,ARPC1B,962
ACTG1,ARPC2,966
ACTG1,ARPC3,964
ACTG1,ARPC4,939
ACTG1,ARPC5,953
ACTG1,ARPC5L,975
ACTG1,BRK1,712
ACTG1,CAP1,724
ACTG1,CASP3,922
ACTG1,CCT2,876
ACTG1,CCT4,871
ACTG1,CCT5,899
ACTG1,CCT6A,934
ACTG1,CCT7,947
ACTG1,CDC42,957
ACTG1,CFL1,998
ACTG1,CTTN,714
ACTG1,DIAPH1,936
ACTG1,DSTN,911
ACTG1,FLNA,729
ACTG1,FN1,768
ACTG1,GAPDH,809
ACTG1,ILK,928
ACTG1,ITGA2,793
ACTG1,ITGA2B,904
ACTG1,ITGA5,716
ACTG1,ITGAV,709
ACTG1,ITGB1,955
ACTG1,ITGB3,913
ACTG1,LCP1,744
ACTG1,MSN,959
ACTG1,MYH9,978
ACTG1,MYL6,956
ACTG1,MYL9,940
ACTG1,PARVB,912
ACTG1,PFN1,992
ACTG1,RHOA,944
ACTG1,RUVBL1,763
ACTG1,RUVBL2,706
ACTG1,TCP1,943
ACTG1,TLN1,976
ACTG1,TMSB4X,977
ACTG1,TPM3,742
ACTG1,TUBA1A,788
ACTG1,TUBA1C,754
ACTG1,TUBB,773
ACTG1,VASP,974
ACTG1,VCL,990
ACTG1,WAS,949
ACTG1,WASF2,953
ACTG1,WDR1,748
ACTG1,ZYX,931
ACTN1,ACTN4,998
ACTN1,CAPZB,750
ACTN1,CFL1,915
ACTN1,DBN1,702
ACTN1,FLNA,716
ACTN1,ITGA2,776
ACTN1,ITGA2B,750
ACTN1,ITGA5,965
ACTN1,ITGA6,827
ACTN1,ITGAV,739
ACTN1,ITGB1,974
ACTN1,ITGB3,860
ACTN1,MYH9,844
ACTN1,PARVB,955
ACTN1,PDLIM1,972
ACTN1,PDLIM7,740
ACTN1,PFN1,756
ACTN1,PIP4K2A,906
ACTN1,SDC4,728
ACTN1,SRC,851
ACTN1,TLN1,832
ACTN1,TPM1,887
ACTN1,TPM3,715
ACTN1,VCL,999
ACTN1,ZYX,989
ACTN4,INF2,932
ACTN4,ITGA2,815
ACTN4,ITGA5,922
ACTN4,ITGA6,725
ACTN4,ITGB1,960
ACTN4,ITGB3,712
ACTN4,MYH9,926
ACTN4,PDLIM1,970
ACTN4,PDLIM5,735
ACTN4,PIP4K2A,904
ACTN4,PODXL,748
ACTN4,SPTAN1,760
ACTN4,TLN1,896
ACTN4,TPM2,760
ACTN4,TPM4,798
ACTN4,VCL,999
ACTN4,ZYX,978
ACTR1A,ACTR1B,992
ACTR1A,CAPZA1,992
ACTR1A,CAPZA2,969
ACTR1A,CAPZB,990
ACTR1A,DCTN1,999
ACTR1A,DCTN2,999
ACTR1A,DCTN3,998
ACTR1A,DYNLL1,881
ACTR1A,DYNLRB1,873
ACTR1A,HSP90AA1,845
ACTR1B,CAPZA1,811
ACTR1B,CAPZA2,880
ACTR1B,CAPZB,903
ACTR1B,DCTN1,997
ACTR1B,DCTN2,998
ACTR1B,DCTN3,992
ACTR2,ACTR3,999
ACTR2,ARPC1B,999
ACTR2,ARPC2,999
ACTR2,ARPC3,999
ACTR2,ARPC4,999
ACTR2,ARPC5,999
ACTR2,ARPC5L,999
ACTR2,BRK1,813
ACTR2,CAPZA2,743
ACTR2,CDC42,950
ACTR2,CFL1,963
ACTR2,CORO1A,707
ACTR2,CORO1B,780
ACTR2,CORO1C,899
ACTR2,CTTN,973
ACTR2,CYFIP1,807
ACTR2,GMFG,975
ACTR2,GRB2,823
ACTR2,MYH9,805
ACTR2,PFN1,920
ACTR2,RHOC,768
ACTR2,VASP,711
ACTR2,VCL,725
ACTR2,WAS,999
ACTR2,WASF2,988
ACTR2,WDR1,711
ACTR2,WIPF1,920
ACTR3,ARPC1B,999
ACTR3,ARPC2,999
ACTR3,ARPC3,999
ACTR3,ARPC4,999
ACTR3,ARPC5,999
ACTR3,ARPC5L,998
ACTR3,BRK1,715
ACTR3,CAP1,861
ACTR3,CAPZA1,711
ACTR3,CAPZB,774
ACTR3,CDC42,841
ACTR3,CFL1,750
ACTR3,CTTN,925
ACTR3,CYFIP1,730
ACTR3,GMFG,884
ACTR3,MYH9,812
ACTR3,PFN1,748
ACTR3,WAS,996
ACTR3,WASF2,953
ACTR3,WDR1,826
ACTR3,WIPF1,822
ADAM10,APOE,733
ADAM10,APP,950
ADAM10,BAX,736
ADAM10,C6,720
ADAM10,C7,720
ADAM10,C8A,720
ADAM10,C8B,720
ADAM10,C9,720
ADAM10,CD34,756
ADAM10,CD9,881
ADAM10,CDH1,881
ADAM10,NCSTN,865
ADAM10,NOTCH2,825
ADAM10,PPIF,733
ADAM10,VDAC1,748
ADAMTS13,C3,735
ADAMTS13,CD46,712
ADAMTS13,CFH,853
ADAMTS13,CFHR1,833
ADAMTS13,CFHR3,824
ADAMTS13,CFI,721
ADAMTS13,F8,950
ADAMTS13,GP1BA,931
ADAMTS13,HP,773
ADAMTS13,VWF,997
ADAMTSL2,FBN1,788
ADAMTSL2,LTBP1,956
ADAMTSL4,FBN1,940
ADD1,ANK1,986
ADD1,CAPZA2,730
ADD1,CASP3,784
ADD1,DMTN,993
ADD1,GAPDH,711
ADD1,MARCKS,760
ADD1,MTPN,756
ADD1,SLC2A1,766
ADD1,SPTBN1,716
ADD1,TMOD3,955
ADD1,TPI1,743
ADGRF5,SFTPB,803
ADH1B,COMT,936
ADH1B,ESD,864
ADH1B,GSTO1,701
ADH5,COMT,912
ADH5,ESD,998
ADH5,GSTO1,759
ADIPOQ,APOB,781
ADIPOQ,APOE,795
ADIPOQ,CALR,838
ADIPOQ,CD36,806
ADIPOQ,CDH13,996
ADIPOQ,CFD,988
ADIPOQ,ITLN1,771
ADIPOQ,LPL,794
ADIPOQ,PLIN1,947
ADIPOQ,RARRES2,773
ADIPOQ,RETN,967
ADIPOQ,SERPINE1,789
ADIPOQ,SHBG,823
ADRM1,BRCC3,767
ADRM1,COPS5,811
ADRM1,PSMA1,983
ADRM1,PSMA2,972
ADRM1,PSMA3,960
ADRM1,PSMA4,978
ADRM1,PSMA5,975
ADRM1,PSMA6,967
ADRM1,PSMA7,937
ADRM1,PSMB1,980
ADRM1,PSMB10,884
ADRM1,PSMB2,987
ADRM1,PSMB3,965
ADRM1,PSMB4,967
ADRM1,PSMB5,961
ADRM1,PSMB6,945
ADRM1,PSMB7,921
ADRM1,PSMB8,932
ADRM1,PSMB9,911
ADRM1,PSMC1,999
ADRM1,PSMC2,999
ADRM1,PSMC3,998
ADRM1,PSMC4,999
ADRM1,PSMC5,998
ADRM1,PSMC6,999
ADRM1,PSMD13,999
ADRM1,PSMD14,999
ADRM1,PSMD4,999
ADRM1,PSMD5,999
ADRM1,PSMD7,999
ADRM1,PSMD8,999
ADRM1,PSMD9,885
ADRM1,PSME1,814
ADRM1,SGTA,862
ADRM1,SNCA,714
ADRM1,TXNL1,707
ADSL,AK2,964
ADSL,APRT,990
ADSL,DCK,936
ADSL,GMPR,782
ADSL,HPRT1,935
ADSL,IDH1,860
ADSL,MDH2,908
ADSL,PDE3A,900
ADSL,PNP,725
ADSL,PRPS1,728
ADSL,SHMT2,909
AFM,APCS,701
AFM,APOH,720
AFM,HRG,774
AGRN,APOE,732
AGRN,BGN,922
AGRN,CD44,720
AGRN,CTTN,737
AGRN,DAG1,999
AGRN,FN1,983
AGRN,GPC1,802
AGRN,HSPG2,993
AGRN,ITGB1,788
AGRN,LAMA2,789
AGRN,LGALS3,720
AGRN,LRP1,750
AGRN,NCAM1,927
AGRN,NID1,985
AGRN,NID2,877
AGRN,SDC1,763
AGRN,UTRN,862
AGRN,VCAN,806
AGT,ANPEP,910
AGT,APOE,853
AGT,ATP6AP2,984
AGT,C3,718
AGT,CCL5,716
AGT,CXCL12,704
AGT,F2,846
AGT,FGB,739
AGT,FN1,790
AGT,GNAQ,962
AGT,KNG1,992
AGT,LNPEP,802
AGT,MMP9,704
AGT,SRC,799
AGT,TGFB1,812
AHCY,SELENBP1,823
AHCY,SHMT2,857
AHSG,AMBP,932
AHSG,ANXA2,854
AHSG,APOA1,944
AHSG,APOA2,943
AHSG,APOB,900
AHSG,APOC3,882
AHSG,APOH,957
AHSG,APOM,844
AHSG,AZGP1,794
AHSG,C3,700
AHSG,CP,776
AHSG,F2,980
AHSG,F5,701
AHSG,FGA,984
AHSG,FGB,909
AHSG,FGG,970
AHSG,FN1,712
AHSG,GC,959
AHSG,HP,882
AHSG,HPX,879
AHSG,HRG,924
AHSG,IGFBP1,893
AHSG,ITIH1,707
AHSG,ITIH2,922
AHSG,ITIH3,730
AHSG,ITIH4,708
AHSG,KNG1,936
AHSG,LPA,796
AHSG,MGP,977
AHSG,ORM1,926
AHSG,ORM2,908
AHSG,PLG,902
AHSG,SERPINA1,971
AHSG,SERPINA3,848
AHSG,SERPINA7,916
AHSG,SERPIND1,704
AHSG,SERPINF2,768
AHSG,SPP1,841
AHSG,SPP2,941
AHSG,TTR,858
AHSG,VTN,782
AK2,APRT,968
AK2,ATP5F1A,700
AK2,DCK,923
AK2,ENO1,884
AK2,FUCA1,726
AK2,NME1,807
AK2,NME2,849
AK2,PGM1,852
AK2,PKM,944
AKAP12,PRKAR2A,722
AKAP12,SRC,703
ALCAM,CD34,798
ALCAM,CD44,859
ALCAM,CD9,767
ALCAM,ENG,880
ALCAM,ICAM1,755
ALCAM,ITGB1,824
ALCAM,L1CAM,979
ALCAM,LGALS3,761
ALCAM,PECAM1,729
ALCAM,PTPRC,776
ALDOA,AMBP,716
ALDOA,DERA,924
ALDOA,ENO1,988
ALDOA,ENO2,942
ALDOA,G6PD,894
ALDOA,GAPDH,999
ALDOA,GPI,987
ALDOA,LDHA,973
ALDOA,MINPP1,804
ALDOA,PDHB,930
ALDOA,PGAM1,982
ALDOA,PGK1,962
ALDOA,PKM,983
ALDOA,TALDO1,972
ALDOA,TKFC,920
ALDOA,TKT,973
ALDOA,TPI1,997
AMBP,APOA1,891
AMBP,APOA2,899
AMBP,APOC3,856
AMBP,APOH,942
AMBP,CST3,739
AMBP,F2,979
AMBP,FGA,945
AMBP,FGB,931
AMBP,FGG,876
AMBP,GC,917
AMBP,HNRNPC,830
AMBP,HP,728
AMBP,HPX,916
AMBP,ITIH1,951
AMBP,ITIH2,970
AMBP,ITIH3,931
AMBP,LPA,757
AMBP,ORM1,922
AMBP,ORM2,893
AMBP,PLG,811
AMBP,PTPRC,790
AMBP,SERPINA1,716
AMBP,VTN,737
ANGPTL6,CDH1,839
ANK1,ASAP1,762
ANK1,CD44,971
ANK1,CHL1,958
ANK1,DMTN,884
ANK1,GYPA,971
ANK1,ILK,738
ANK1,L1CAM,978
ANK1,LIMS1,798
ANK1,PLEK,812
ANK1,PPP1CB,770
ANK1,SEPTIN7,718
ANK1,SLC4A1,999
ANK1,SPTA1,954
ANK1,SPTAN1,910
ANK1,SPTB,999
ANK1,SPTBN1,968
ANK1,SRC,719
ANK1,TMOD3,805
ANPEP,CD34,878
ANPEP,CD36,735
ANPEP,CD44,772
ANPEP,CD9,702
ANPEP,DPP4,931
ANPEP,ENG,863
ANPEP,FCGR3A,951
ANPEP,GCLM,924
ANPEP,GGCT,902
ANPEP,GOT2,844
ANPEP,ITGA6,786
ANPEP,ITGB1,804
ANPEP,LAP3,965
ANPEP,MPO,740
ANPEP,NCAM1,818
ANPEP,PTPRC,788
ANPEP,TFRC,832
ANTXR1,ANTXR2,943
ANTXR1,VWF,822
ANTXR2,ERAP1,776
ANTXR2,VWF,802
ANXA1,ANXA2,989
ANXA1,CALR,740
ANXA1,CD63,701
ANXA1,CD9,737
ANXA1,CDH1,776
ANXA1,ENO1,701
ANXA1,FN1,793
ANXA1,KRT8,723
ANXA1,LGALS3,736
ANXA1,S100A4,844
ANXA1,S100A6,877
ANXA1,SRC,774
ANXA1,YWHAZ,795
ANXA11,ANXA7,920
ANXA11,PDCD6,889
ANXA11,S100A6,985
ANXA2,APOH,943
ANXA2,CALR,923
ANXA2,CD151,813
ANXA2,CD44,706
ANXA2,CD63,985
ANXA2,CDC42,921
ANXA2,CLIC1,713
ANXA2,CTSB,978
ANXA2,ENO1,765
ANXA2,FLNA,729
ANXA2,FN1,723
ANXA2,GAPDH,712
ANXA2,GRB2,707
ANXA2,HSPA5,773
ANXA2,LGALS1,766
ANXA2,LGALS3,832
ANXA2,MMP2,826
ANXA2,PCSK9,858
ANXA2,PLG,997
ANXA2,S100A4,999
ANXA2,S100A6,952
ANXA2,SERPINE1,790
ANXA2,SNAP23,733
ANXA2,TSG101,790
ANXA7,LGALS3,931
ANXA7,SRI,936
ANXA7,VPS29,787
AP1S2,AP2S1,751
AP1S2,AP3S1,751
AP1S2,AP4S1,746
AP2S1,AP3S1,910
AP2S1,AP4S1,910
AP2S1,CLTA,961
AP2S1,CLTC,958
AP2S1,EPS15,952
AP2S1,STON2,744
AP2S1,TGOLN2,752
AP3S1,AP4S1,903
AP3S1,CLTA,742
APCS,APOA1,851
APCS,APOA4,836
APCS,APOE,933
APCS,APOH,766
APCS,APP,856
APCS,C4BPA,711
APCS,FCGR2A,970
APCS,FGA,791
APCS,FN1,884
APCS,HRG,808
APCS,HSPG2,739
APCS,MBL2,752
APCS,SAA1,917
APCS,SAA2,841
APCS,TTR,949
APEH,DPP4,733
APEH,IST1,791
APEH,MST1,837
APEH,NCSTN,911
APLP2,APP,816
APLP2,SPON1,721
APOA1,APOA2,999
APOA1,APOA4,989
APOA1,APOA5,951
APOA1,APOB,999
APOA1,APOC1,998
APOA1,APOC2,997
APOA1,APOC3,999
APOA1,APOC4,901
APOA1,APOD,960
APOA1,APOE,999
APOA1,APOF,912
APOA1,APOH,985
APOA1,APOL1,998
APOA1,APOM,972
APOA1,APP,982
APOA1,ATP5F1B,769
APOA1,BMP1,797
APOA1,C3,957
APOA1,C4A,724
APOA1,CD36,917
APOA1,CETP,989
APOA1,CLU,998
APOA1,CST3,826
APOA1,F2,927
APOA1,FGA,902
APOA1,FGG,732
APOA1,FN1,845
APOA1,HP,998
APOA1,HPR,997
APOA1,HPX,826
APOA1,HRG,780
APOA1,ITIH2,793
APOA1,ITIH3,818
APOA1,LBP,949
APOA1,LCAT,999
APOA1,LPA,976
APOA1,LPL,890
APOA1,MPO,924
APOA1,ORM1,869
APOA1,ORM2,828
APOA1,PCSK9,781
APOA1,PCYOX1,799
APOA1,PLTP,973
APOA1,PON1,998
APOA1,SAA1,900
APOA1,SAA2,894
APOA1,SAA4,931
APOA1,SERPINA1,927
APOA1,SNCA,883
APOA1,TTR,994
APOA1,VTN,755
APOA2,APOA4,994
APOA2,APOA5,972
APOA2,APOB,999
APOA2,APOC1,991
APOA2,APOC2,995
APOA2,APOC3,999
APOA2,APOC4,947
APOA2,APOD,993
APOA2,APOE,999
APOA2,APOF,921
APOA2,APOH,989
APOA2,APOL1,926
APOA2,APOM,980
APOA2,APP,902
APOA2,CETP,970
APOA2,CLU,967
APOA2,F2,798
APOA2,FGA,893
APOA2,FGB,849
APOA2,FGG,841
APOA2,GC,765
APOA2,HP,738
APOA2,HPR,932
APOA2,LCAT,982
APOA2,LPA,977
APOA2,LPL,818
APOA2,ORM1,772
APOA2,ORM2,834
APOA2,PCYOX1,822
APOA2,PLTP,962
APOA2,PON1,967
APOA2,SAA1,799
APOA2,SAA2,783
APOA2,SAA4,816
APOA2,SERPINA1,822
APOA2,TTR,843
APOA2,VTN,750
APOA4,APOA5,918
APOA4,APOB,992
APOA4,APOC1,969
APOA4,APOC2,987
APOA4,APOC3,999
APOA4,APOC4,887
APOA4,APOD,864
APOA4,APOE,995
APOA4,APOF,909
APOA4,APOH,938
APOA4,APOL1,928
APOA4,APOM,949
APOA4,APP,827
APOA4,CETP,937
APOA4,CLU,976
APOA4,FGG,792
APOA4,HPR,831
APOA4,LCAT,890
APOA4,LPA,887
APOA4,LPL,781
APOA4,PCYOX1,791
APOA4,PLTP,861
APOA4,PON1,927
APOA4,SAA1,773
APOA4,SAA2,751
APOA4,SAA4,757
APOA4,SERPINA1,793
APOA4,TTR,857
APOA5,APOB,986
APOA5,APOBR,740
APOA5,APOC1,947
APOA5,APOC2,994
APOA5,APOC3,995
APOA5,APOC4,929
APOA5,APOE,992
APOA5,APOF,855
APOA5,APOH,918
APOA5,APOL1,877
APOA5,APOM,942
APOA5,APP,826
APOA5,CETP,935
APOA5,CLU,872
APOA5,FGA,711
APOA5,HPR,820
APOA5,HRG,861
APOA5,LCAT,897
APOA5,LPA,947
APOA5,LPL,964
APOA5,PCYOX1,729
APOA5,PLTP,856
APOA5,PON1,854
APOA5,SERPINA7,800
APOB,APOBR,969
APOB,APOC1,996
APOB,APOC2,991
APOB,APOC3,999
APOB,APOC4,871
APOB,APOD,864
APOB,APOE,999
APOB,APOF,898
APOB,APOH,985
APOB,APOL1,892
APOB,APOM,933
APOB,APP,839
APOB,C3,819
APOB,C4A,743
APOB,CALR,892
APOB,CANX,794
APOB,CD36,980
APOB,CETP,989
APOB,CLU,865
APOB,F2,832
APOB,FGA,832
APOB,FGB,816
APOB,FGG,799
APOB,FN1,825
APOB,GOT2,773
APOB,HPR,822
APOB,HRG,805
APOB,HSP90B1,882
APOB,HSPG2,792
APOB,ITIH2,788
APOB,LCAT,983
APOB,LDLR,955
APOB,LPA,999
APOB,LPL,940
APOB,MPO,711
APOB,P4HB,861
APOB,PCSK9,987
APOB,PCYOX1,787
APOB,PDIA4,765
APOB,PECAM1,806
APOB,PLG,774
APOB,PLTP,964
APOB,PON1,952
APOB,SAA1,888
APOB,SAA2,736
APOB,SAA4,755
APOB,SERPINA1,822
APOB,SPARC,818
APOB,TFRC,813
APOB,TTR,878
APOB,VAMP7,752
APOB,VCP,746
APOC1,APOC2,999
APOC1,APOC3,999
APOC1,APOC4,990
APOC1,APOD,854
APOC1,APOE,999
APOC1,APOF,817
APOC1,APOH,931
APOC1,APOL1,918
APOC1,APOM,939
APOC1,APP,802
APOC1,CETP,985
APOC1,CLU,969
APOC1,HP,726
APOC1,HPR,853
APOC1,LCAT,973
APOC1,LPA,873
APOC1,LPL,866
APOC1,PCYOX1,772
APOC1,PEPD,780
APOC1,PLTP,881
APOC1,PON1,930
APOC1,SAA1,734
APOC1,SAA2,717
APOC1,SAA4,711
APOC1,SERPINA1,758
APOC2,APOC3,999
APOC2,APOC4,987
APOC2,APOD,754
APOC2,APOE,999
APOC2,APOF,811
APOC2,APOH,946
APOC2,APOL1,907
APOC2,APOM,943
APOC2,APP,772
APOC2,CETP,929
APOC2,CLU,955
APOC2,HPR,820
APOC2,LCAT,934
APOC2,LPA,890
APOC2,LPL,998
APOC2,PCYOX1,774
APOC2,PEPD,795
APOC2,PLTP,883
APOC2,PON1,884
APOC2,SAA1,836
APOC2,SAA2,733
APOC2,SAA4,756
APOC2,SERPINA1,708
APOC3,APOC4,929
APOC3,APOD,777
APOC3,APOE,999
APOC3,APOF,892
APOC3,APOH,987
APOC3,APOL1,924
APOC3,APOM,955
APOC3,APP,766
APOC3,CETP,977
APOC3,CLU,921
APOC3,F2,889
APOC3,FGA,822
APOC3,FGB,756
APOC3,FGG,779
APOC3,HPR,851
APOC3,LCAT,958
APOC3,LPA,957
APOC3,LPL,981
APOC3,PCSK9,734
APOC3,PCYOX1,823
APOC3,PLTP,884
APOC3,PON1,933
APOC3,SAA1,889
APOC3,SAA2,821
APOC3,SAA4,799
APOC3,SERPINA1,767
APOC3,SERPINA7,710
APOC3,TTR,771
APOC4,APOE,957
APOC4,APOF,865
APOC4,APOH,877
APOC4,APOL1,847
APOC4,APOM,890
APOC4,APP,750
APOC4,CETP,841
APOC4,CLU,816
APOC4,HPR,802
APOC4,LCAT,828
APOC4,LPA,855
APOC4,PCYOX1,825
APOC4,PLTP,840
APOC4,PON1,908
APOC4,SAA4,731
APOD,APOE,936
APOD,APOF,805
APOD,APOH,804
APOD,APOL1,722
APOD,APOM,790
APOD,AZGP1,707
APOD,C1QB,795
APOD,CLU,939
APOD,CSTB,781
APOD,LCAT,859
APOD,PIP,730
APOE,APOF,865
APOE,APOH,921
APOE,APOL1,965
APOE,APOM,941
APOE,APP,999
APOE,BCHE,835
APOE,BGN,723
APOE,C1QB,705
APOE,C3,732
APOE,C9,817
APOE,CD36,795
APOE,CD44,937
APOE,CETP,974
APOE,CFB,700
APOE,CFH,958
APOE,CLU,999
APOE,CST3,850
APOE,FGA,705
APOE,FN1,712
APOE,GPC1,721
APOE,GPX3,715
APOE,HP,811
APOE,HPR,796
APOE,HSP90B1,724
APOE,HSPG2,954
APOE,ICAM1,789
APOE,ITIH3,705
APOE,LCAT,956
APOE,LDLR,839
APOE,LPA,971
APOE,LPL,982
APOE,LRP1,999
APOE,MMP9,769
APOE,PCSK9,729
APOE,PCYOX1,784
APOE,PLTP,968
APOE,PON1,977
APOE,PRNP,717
APOE,SAA1,763
APOE,SAA2,750
APOE,SAA4,703
APOE,SDC1,932
APOE,SDC4,769
APOE,SERPINA1,781
APOE,SERPINA3,916
APOE,SNCA,996
APOE,SORL1,997
APOE,TTR,952
APOE,VCAM1,799
APOE,VDAC1,761
APOE,VTN,989
APOF,APOH,914
APOF,APOL1,929
APOF,APOM,901
APOF,CETP,981
APOF,CLU,891
APOF,HPR,743
APOF,LCAT,754
APOF,LPA,800
APOF,PCYOX1,705
APOF,PLTP,868
APOF,PON1,888
APOF,SAA1,788
APOF,SAA2,785
APOF,SAA4,758
APOH,APOL1,904
APOH,APOM,981
APOH,APP,763
APOH,AZGP1,810
APOH,CETP,817
APOH,CLU,911
APOH,CPB2,747
APOH,F2,984
APOH,FGA,871
APOH,FGB,804
APOH,FGG,910
APOH,GC,766
APOH,HP,736
APOH,HPR,874
APOH,HPX,792
APOH,HRG,862
APOH,ITIH2,867
APOH,ITIH3,777
APOH,ITIH4,851
APOH,LCAT,828
APOH,LDLR,707
APOH,LPA,941
APOH,LPL,923
APOH,ORM1,760
APOH,PCYOX1,781
APOH,PF4,763
APOH,PLG,940
APOH,PLTP,817
APOH,PON1,870
APOH,SAA4,718
APOH,SERPINA1,845
APOH,SERPIND1,806
APOH,SERPINF2,822
APOH,VTN,787
APOL1,APOM,924
